text : 	link : http://www.39.net/
text : 问医生	link : http://ask.39.net/
text : 找医院	link : http://yyk.39.net/
text : 查疾病	link : http://jbk.39.net/
text : 症状自查	link : http://jbk.39.net/bw_t2/
text : 药品通	link : http://ypk.39.net/
text : 快应用	link : http://www.39.net/a/200519/7910008.html
text : 登录	link : https://my.39.net/passport/Login.aspx
text : 39网友	link : http://my.39.net
text : 资讯	link : http://news.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 儿科	link : http://ek.39.net/
text : 肿瘤	link : http://cancer.39.net/
text : 肝病	link : http://gan.39.net/
text : 肾病	link : http://shen.39.net/
text : 胃病	link : http://wei.39.net/
text : 肛肠	link : http://gc.39.net/
text : 糖尿病	link : http://tnb.39.net/
text : 心血管	link : http://heart.39.net/
text : 神经	link : http://sj.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 骨科	link : http://gk.39.net/
text : 皮肤	link : http://pf.39.net/
text : 整形	link : http://zx.39.net/
text : 诊疗	link : http://zl.39.net/
text : 减肥	link : http://fitness.39.net/
text : 女性	link : http://woman.39.net/
text : 男性	link : http://man.39.net/
text : 饮食	link : http://food.39.net/
text : 育儿	link : http://baby.39.net/
text : 【回到旧版首页】	link : http://www.39.net/index2015.html
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 产科	link : http://ck.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 肿瘤科	link : http://cancer.39.net/
text : 内科	link : http://neike.39.net/
text : 呼吸科	link : http://hx.39.net/
text : 心血管	link : http://heart.39.net/
text : 胃病科	link : http://wei.39.net/
text : 肾病科	link : http://shen.39.net/
text : 糖尿病科	link : http://tnb.39.net/
text : 肝病科	link : http://gan.39.net/
text : 乙肝	link : http://hbv.39.net/
text : 艾滋病	link : http://aids.39.net/
text : 神经科	link : http://sj.39.net/
text : 血液科	link : http://xy.39.net/
text : 精神科	link : http://js.39.net/
text : 消化科	link : http://xh.39.net/
text : 传染科	link : http://cr.39.net/
text : 皮肤科	link : http://pf.39.net/
text : 性病科	link : http://xb.39.net/
text : 风湿科	link : http://fs.39.net/
text : 外科	link : http://wk.39.net/
text : 骨科	link : http://gk.39.net/
text : 肛肠科	link : http://gc.39.net/
text : 内分泌	link : http://nfm.39.net/
text : 五官科	link : http://wgk.39.net/
text : 眼科	link : http://eye.39.net/
text : 口腔科	link : http://mouth.39.net/
text : 耳鼻喉科	link : http://ebh.39.net/
text : 过敏科	link : http://gm.39.net/
text : 其他	link : http://disease.39.net/
text : 儿科	link : http://ek.39.net/
text : 中医科	link : http://cm.39.net/
text : 急救	link : http://120.39.net/
text : 体检科	link : http://tj.39.net/
text : 深呼吸	link : http://news.39.net/shx/
text : 新疆界	link : http://news.39.net/xinjiangjie/
text : 仁心	link : http://disease.39.net/renxin/
text : 辟谣	link : http://care.39.net/39zjpyt/
text : 	link : http://woman.39.net/a/211103/9639325.html
text : 	link : http://woman.39.net/a/211026/9609204.html
text : 	link : http://woman.39.net/a/211026/9608803.html
text : 	link : http://woman.39.net/a/211026/9608911.html
text : 	link : http://woman.39.net/a/211026/9610252.html
text : 只因睡前喝了它，失眠到绝望…...	link : http://woman.39.net/a/211103/9639325.html
text : 睡眠	link : http://woman.39.net/nxbj/blbj/sm/
text : 乳腺癌患者自述：切除双乳后，老公从不直视我，跟以前判若两人	link : http://woman.39.net/a/211026/9609204.html
text : 婚姻内外	link : http://woman.39.net/nxqg/hynw/
text : 卫生棉条好处多，为啥国内的女性不喜欢用？非要用手指推进去？	link : http://woman.39.net/a/211026/9608803.html
text : 女性私密事	link : http://woman.39.net/sms/
text : 头孢配酒，说走就走！除了头孢，这5种药物也别沾酒，你在吃吗？	link : http://woman.39.net/a/211026/9608911.html
text : 保健误区	link : http://woman.39.net/nxbj/bjwq/
text : 首个国产宫颈癌疫苗获世卫预认证，每个女性都有必要打吗？	link : http://woman.39.net/a/211026/9610252.html
text : 疾病期保健	link : http://woman.39.net/nxbj/jbqbj/
text : 	link : http://woman.39.net/a/211109/9661908.html
text : Clinical Infectious Disease: 44°C局部热疗可有效清除宫颈高危人乳头瘤病毒	link : http://woman.39.net/a/211109/9661908.html
text : 	link : http://woman.39.net/a/211109/9650010.html
text : 喝茶养生：女人多喝6种茶美容养颜抗衰老	link : http://woman.39.net/a/211109/9650010.html
text : 	link : http://woman.39.net/a/211103/9642403.html
text : 女性经期千万别洗头，会致癌？忠告：5件事真的不能在经期干	link : http://woman.39.net/a/211103/9642403.html
text : 	link : http://food.39.net/a/211108/9659602.html
text : “临期食品”疯狂打折好划算，但吃“临期食品”安全吗？	link : http://food.39.net/a/211108/9659602.html
text : 	link : http://woman.39.net/a/211103/9639241.html
text : 交一次功课，“歇业”好几天，这种情况正常吗？夫妻都了解一下	link : http://woman.39.net/a/211103/9639241.html
text : 	link : http://woman.39.net/a/211108/9649763.html
text : 一周一面膜，衰老远离我！这几个时间敷面膜，效果最好	link : http://woman.39.net/a/211108/9649763.html
text : 	link : http://woman.39.net/a/211106/9650067.html
text : 4种女人病啪啪啪就能搞定！周末了，可以动起来了	link : http://woman.39.net/a/211106/9650067.html
text : 	link : http://woman.39.net/a/211103/9639461.html
text : 吃降压药可能导致缺钾，比缺钙还危险！留意4大症状，正确补充	link : http://woman.39.net/a/211103/9639461.html
text : 	link : http://woman.39.net/sms/
text : 	link : http://woman.39.net/a/200409/7837792.html
text : “下面”的毛毛有什么用？	link : http://woman.39.net/a/200409/7837792.html
text : 	link : http://woman.39.net/mrj/mrjzt/
text : 	link : http://woman.39.net/a/210325/8777795.html
text : 	link : http://woman.39.net/a/210325/8777795.html
text : 专家在线	link : http://fk.39.net/fkzjft/
text : 我要提问	link : http://ask.39.net/addtopic.aspx?from=dh&words=
text : 安全期测试	link : http://test.39.net/test/5719.html
text : 血型测试	link : http://test.39.net/test/5715.html
text : 中医体质	link : http://test.39.net/test/7181.html
text : BMI计算器	link : http://jianfei.39.net/box/bmi
text : 体脂率自测	link : http://jianfei.39.net/box/bfr
text : 标准体型	link : http://jianfei.39.net/box/bzsc
text : 三围计算	link : http://test.39.net/test/70.html
text : 热量计算	link : http://jianfei.39.net/box/cal
text : 肤质测试	link : http://test.39.net/test/7179.html
text : 医疗健康	link : http://woman.39.net/nxbj/
text : 	link : http://fk.39.net/a/211105/9650537.html
text : 	link : http://fk.39.net/a/211105/9652200.html
text : 	link : http://fk.39.net/a/211105/9652044.html
text : 	link : http://woman.39.net/a/211103/9639325.html
text : 	link : http://woman.39.net/a/211026/9608803.html
text : 产妇“暴力”通乳引发乳腺炎，出现发烧！中医推拿按摩帮她成功退热通乳	link : http://fk.39.net/a/211105/9650537.html
text : 乳腺炎检查诊断	link : http://fk.39.net/rfjb/rxy/jczd/
text : 明年起，广东这些女生可以免费接种HPV疫苗！日常中如何预防宫颈癌？	link : http://fk.39.net/a/211105/9652200.html
text : 宫颈癌预防	link : http://fk.39.net/gjjb/gjc/gjayf/
text : 子宫肌瘤也可能恶变！如果出现以下几种症状，或暗示着子宫肌瘤来临	link : http://fk.39.net/a/211105/9652044.html
text : 子宫肌瘤诊断	link : http://fk.39.net/zgjb/zgjl/jlzd/
text : 只因睡前喝了它，失眠到绝望…...	link : http://woman.39.net/a/211103/9639325.html
text : 睡眠	link : http://woman.39.net/nxbj/blbj/sm/
text : 卫生棉条好处多，为啥国内的女性不喜欢用？非要用手指推进去？	link : http://woman.39.net/a/211026/9608803.html
text : 女性私密事	link : http://woman.39.net/sms/
text : 	link : http://woman.39.net/a/211109/9661908.html
text : Clinical Infectious Disease: 44°C局部热疗可有效清除宫颈高危人乳头瘤病毒	link : http://woman.39.net/a/211109/9661908.html
text : 	link : http://woman.39.net/a/211109/9650010.html
text : 喝茶养生：女人多喝6种茶美容养颜抗衰老	link : http://woman.39.net/a/211109/9650010.html
text : 	link : http://woman.39.net/a/211103/9642403.html
text : 女性经期千万别洗头，会致癌？忠告：5件事真的不能在经期干	link : http://woman.39.net/a/211103/9642403.html
text : 	link : http://food.39.net/a/211108/9659602.html
text : “临期食品”疯狂打折好划算，但吃“临期食品”安全吗？	link : http://food.39.net/a/211108/9659602.html
text : 	link : http://woman.39.net/a/211103/9639241.html
text : 交一次功课，“歇业”好几天，这种情况正常吗？夫妻都了解一下	link : http://woman.39.net/a/211103/9639241.html
text : 	link : http://woman.39.net/a/211108/9649763.html
text : 一周一面膜，衰老远离我！这几个时间敷面膜，效果最好	link : http://woman.39.net/a/211108/9649763.html
text : 	link : http://fk.39.net/yth/211026/9610265.html
text : 人造子宫来了，以后女性可以不用亲自怀孕了吗？	link : http://fk.39.net/yth/211026/9610265.html
text : 产后盆底肌松弛多可怕？关于盆底肌，每个女生都应该知道	link : http://fk.39.net/a/210827/9370599.html
text : 卵巢出了问题，身体会出现“2痛2肿”，请重视！	link : http://fk.39.net/a/210826/9364244.html
text : 别再觉得自己丑了，容貌焦虑也是种精神疾病	link : http://fk.39.net/a/210823/9349812.html
text : 女性经期千万别洗头，会致癌？忠告：5件事真的不能在经期干	link : http://woman.39.net/a/211103/9642403.html
text : 用药常识	link : http://ypk.39.net/fuke/
text : 妇科千金片	link : http://ypk.39.net/508601/
text : 保妇康栓	link : http://ypk.39.net/509025/
text : 参子洗剂	link : http://ypk.39.net/671107/
text : 毓婷	link : http://ypk.39.net/576562/
text : 优思明	link : http://ypk.39.net/923793/
text : 妈富隆	link : http://ypk.39.net/503826/
text : 乌鸡白凤丸	link : http://ypk.39.net/508981/
text : 益母草颗粒	link : http://ypk.39.net/655787/
text : 六味地黄丸	link : http://ypk.39.net/508683/
text : 女性疾病	link : http://fk.39.net/
text : 阴道疾病	link : http://fk.39.net/ydy/
text : 子宫疾病	link : http://fk.39.net/zgjb/
text : 宫颈疾病	link : http://fk.39.net/gjjb/
text : 乳房疾病	link : http://fk.39.net/rfjb/
text : 盆腔疾病	link : http://fk.39.net/pqy/
text : 卵巢疾病	link : http://fk.39.net/lcjb/
text : 月经疾病	link : http://fk.39.net/sznfmjb/
text : 不孕不育	link : http://baby.39.net/yq/byby/
text : 妇科癌症	link : http://woman.39.net/nxbj/jbqbj/
text : 妇产科专家	link : http://fk.39.net/fkzjft/
text : 每天一杯豆浆，子宫肌瘤个头翻倍？医生列出慎吃食物黑名单	link : http://fk.39.net/a/200812/8115062.html
text : 性早熟离你家孩子还很远？疫情后诊疗量暴涨敲响警钟	link : http://fk.39.net/a/200513/7896838.html
text : 女人没有白带，身体会出现什么变化？医生：这些病症不请自来	link : http://fk.39.net/a/200319/7810163.html
