text : 39健康网	link : http://www.39.net/
text : 肿瘤科	link : /zhongliu/
text : 肺癌	link : /feiai/
text : 肝癌	link : /ganai/
text : 胃癌	link : /weiai/
text : 食道癌	link : /shidaoai/
text : 乳腺癌	link : /ruxianai/
text : 肾癌	link : /shenai/
text : 脑癌	link : /naoai/
text : 鼻咽癌	link : /biyanai/
text : 白血病	link : /baixuebing/
text : 宫颈癌	link : /gongjingai/
text : 骨癌	link : /guai/
text : 结肠癌	link : /jiechangai/
text : 膀胱癌	link : /pangguangai/
text : 胰腺癌	link : /yixianai/
text : 前列腺癌	link : /qianliexianai/
text : 皮肤癌	link : /pifuai/
text : 淋巴癌	link : /linbaai/
text : 甲状腺瘤	link : /jiazhuangxianliu/
text : 白血病	link : /baixuebing/
text : 风湿免疫科	link : /mianyi/
text : 痛风	link : /tongfeng/
text : 过敏	link : /guomin/
text : 类风湿	link : /leifengshi/
text : 红斑狼疮	link : /hblc/
text : 器官移植	link : /qiguanyizhi/
text : 股骨头坏死	link : /gugutouhuaisi/
text : 骨质增生	link : /guzhizengsheng/
text : 骨质疏松	link : /guzhishusong/
text : 骨关节炎	link : /guguanjieyan/
text : 坐骨神经痛	link : /zuogushenjingtong/
text : 颈椎病	link : /jingzhuibing/
text : 强直性脊柱炎	link : /qiangzhixingjizhuyan/
text : 抗寄生虫类	link : /jishengchong/
text : 蛔虫病	link : /huichong/
text : 蛲虫病	link : /naochong/
text : 螨虫感染	link : /manchong/
text : 滴虫病	link : /dichong/
text : 丝虫病	link : /sichong/
text : 阿米巴病	link : /amiba/
text : 疟疾	link : /nueji/
text : 水电解质及酸碱平衡	link : /dianjiezhi/
text : 低血钾	link : /dixuejia/
text : 低血糖	link : /dixuetang/
text : 其它水电解质	link : /qtdjz/
text : 血液疾病类	link : /xueye/
text : 白细胞减少	link : /baixibao/
text : 血小板减少	link : /xuexiaoban/
text : 血液疾病类	link : /xueye/
text : 白细胞减少	link : /baixibao/
text : 血小板减少	link : /xuexiaoban/
text : 抗结核及麻风类	link : /jiehe/
text : 结核病	link : /jiehebing/
text : 麻风病	link : /mafengbing/
text : 性病用药	link : /xingbingyongyao/
text : 尖锐湿疣	link : /jianruishiyou/
text : 淋病	link : /linbing/
text : 带状疱疹	link : /daizhuangpaozhen/
