text : 	link : //yyk.39.net/
text : 39健康网	link : http://www.39.net/
text : 39问医生	link : http://ask.39.net/
text : 疾病百科	link : http://jbk.39.net/
text : 药品通	link : http://ypk.39.net/
text : 名医在线	link : http://doc.39.net/myzx/index.html
text : 新闻	link : http://news.39.net/
text : 诊疗	link : http://zl.39.net/
text : 药品	link : http://drug.39.net/
text : 特色医院	link : //yyk.39.net/tsyiyuan/
text : 登录	link : javascript:void(0);
text : 注册	link : javascript:void(0);
text : 我的预约	link : https://yyk.39.net/user/index.html
text : 就诊人管理	link : https://yyk.39.net/user/weihu.html
text : 我的关注	link : https://yyk.39.net/user/favorites.html?type=1
text : 退出	link : javascript:void(0);
text : 找医院	link : /wuhan/hospitals/
text : 找医生	link : /wuhan/doctors/
text : 广州	link : /guangzhou/
text : 北京	link : /beijing/
text : 深圳	link : /shenzhen/
text : 杭州	link : /hangzhou/
text : 全国	link : /
text : 北京	link : javascript:loadAreaInfo('11','beijing','北京')
text : 天津	link : javascript:loadAreaInfo('12','tianjin','天津')
text : 河北	link : javascript:loadAreaInfo('13','hebei2','河北')
text : 山西	link : javascript:loadAreaInfo('14','shanxi','山西')
text : 内蒙古	link : javascript:loadAreaInfo('15','nmgzzq','内蒙古')
text : 辽宁	link : javascript:loadAreaInfo('21','liaoning','辽宁')
text : 吉林	link : javascript:loadAreaInfo('22','jilin2','吉林')
text : 黑龙江	link : javascript:loadAreaInfo('23','heilongjiang','黑龙江')
text : 上海	link : javascript:loadAreaInfo('31','shanghai','上海')
text : 江苏	link : javascript:loadAreaInfo('32','jiangsu','江苏')
text : 浙江	link : javascript:loadAreaInfo('33','zhejiang','浙江')
text : 安徽	link : javascript:loadAreaInfo('34','anhui','安徽')
text : 福建	link : javascript:loadAreaInfo('35','fujian','福建')
text : 江西	link : javascript:loadAreaInfo('36','jiangxi','江西')
text : 山东	link : javascript:loadAreaInfo('37','shandong','山东')
text : 河南	link : javascript:loadAreaInfo('41','henan','河南')
text : 湖北	link : javascript:loadAreaInfo('42','hubei','湖北')
text : 湖南	link : javascript:loadAreaInfo('43','hunan','湖南')
text : 广东	link : javascript:loadAreaInfo('44','guangdong','广东')
text : 广西	link : javascript:loadAreaInfo('45','gxzzzzq','广西')
text : 海南	link : javascript:loadAreaInfo('46','hainan2','海南')
text : 重庆	link : javascript:loadAreaInfo('50','chongqing','重庆')
text : 四川	link : javascript:loadAreaInfo('51','sichuan','四川')
text : 贵州	link : javascript:loadAreaInfo('52','guizhou','贵州')
text : 云南	link : javascript:loadAreaInfo('53','yunnan','云南')
text : 西藏	link : javascript:loadAreaInfo('54','xzzzq','西藏')
text : 陕西	link : javascript:loadAreaInfo('61','shanxi2','陕西')
text : 甘肃	link : javascript:loadAreaInfo('62','gansu','甘肃')
text : 青海	link : javascript:loadAreaInfo('63','qinghai','青海')
text : 宁夏	link : javascript:loadAreaInfo('64','nxhzzzq','宁夏')
text : 新疆	link : javascript:loadAreaInfo('65','xjwwezzq','新疆')
text : 台湾	link : javascript:loadAreaInfo('71','taiwan','台湾')
text : 香港	link : javascript:loadAreaInfo('81','xgtbxzq','香港')
text : 澳门	link : javascript:loadAreaInfo('82','amtbxzq','澳门')
text : 武汉	link : /wuhan/
text : 黄石	link : /huangshi2/
text : 十堰	link : /shiyan2/
text : 宜昌	link : /yichang/
text : 襄阳	link : /xiangyang4/
text : 鄂州	link : /ezhou/
text : 荆门	link : /jingmen/
text : 孝感	link : /xiaogan/
text : 荆州	link : /jingzhou/
text : 黄冈	link : /huanggang/
text : 咸宁	link : /xianning/
text : 随州	link : /suizhou/
text : 恩施	link : /estjzmzzzz/
text : 仙桃	link : /xiantao/
text : 潜江	link : /qianjiang/
text : 天门	link : /tianmen/
text : 神农架	link : /snjlq/
text : 使用症状自查 找对就诊科室	link : //jbk.39.net/zicha/
text : 肝病	link : /wuhan/doctors/ganbing/
text : 不孕不育	link : /wuhan/doctors/buyunbuyu/
text : 腰椎间盘突出	link : /wuhan/doctors/yzjptc/
text : 颈椎病	link : /wuhan/doctors/jingzhuibing/
text : 鼻炎	link : /wuhan/doctors/biyan/
text : 胆结石	link : /wuhan/doctors/danjieshi/
text : 白癜风	link : /wuhan/doctors/baidianfeng/
text : 甲亢	link : /wuhan/doctors/jiakang/
text : 肾结石	link : /wuhan/doctors/shenjieshi/
text : 性病	link : /wuhan/doctors/xingbing/
text : 抑郁症	link : /wuhan/doctors/yiyuzheng/
text : 癫痫	link : /wuhan/doctors/dianxian/
text : 胃病	link : /wuhan/doctors/weibing/
text : 头痛	link : /wuhan/doctors/toutong/
text : 口臭	link : /wuhan/doctors/kouchou/
text : 便秘	link : /wuhan/doctors/bianmi/
text : 狐臭	link : /wuhan/doctors/huchou/
text : 皮肤病	link : /wuhan/doctors/pifubing/
text : 血管瘤	link : /wuhan/doctors/xueguanliu/
text : 牛皮癣	link : /wuhan/doctors/niupixuan/
text : 隆胸	link : /wuhan/doctors/longxiong/
text : 隆鼻	link : /wuhan/doctors/longbi2/
text : 植发	link : /wuhan/doctors/zhifa/
text : 脑肿瘤	link : /wuhan/doctors/naozhongliu/
text : 痔疮	link : /wuhan/doctors/zhichuang/
text : 肛瘘	link : /wuhan/doctors/ganglou/
text : 乳腺癌	link : /wuhan/doctors/ruxianai/
text : 阴道炎	link : /wuhan/doctors/yindaoyan/
text : 卵巢囊肿	link : /wuhan/doctors/luanchaonangzhong/
text : 子宫肌瘤	link : /wuhan/doctors/zigongjiliu/
text : 乳腺增生	link : /wuhan/doctors/ruxianzengsheng/
text : 月经失调	link : /wuhan/doctors/yuejingshidiao/
text : 人流	link : /wuhan/doctors/renliu/
text : 宫颈炎	link : /wuhan/doctors/gongjingyan/
text : 盆腔炎	link : /wuhan/doctors/penqiangyan/
text : 痛经	link : /wuhan/doctors/tongjing/
text : 新生儿黄疸	link : /wuhan/doctors/xsehd/
text : 小儿支气管炎	link : /wuhan/doctors/xezqgy/
text : 小儿支原体肺炎	link : /wuhan/doctors/xezytfy/
text : 小儿遗尿	link : /wuhan/doctors/xiaoeryiniao/
text : 小儿疝气	link : /wuhan/doctors/xiaoershanqi/
text : 小儿癫痫	link : /wuhan/doctors/xiaoerdianxian/
text : 小儿哮喘	link : /wuhan/doctors/xiaoerxiaochuan/
text : 前列腺炎	link : /wuhan/doctors/qianliexianyan/
text : 包皮过长	link : /wuhan/doctors/baopiguozhang/
text : 男性不育	link : /wuhan/doctors/nanxingbuyu/
text : 早泄	link : /wuhan/doctors/zaoxie/
text : 阳痿	link : /wuhan/doctors/yangwei/
text : 精索静脉曲张	link : /wuhan/doctors/jsjmqz/
text : 高血压	link : /wuhan/doctors/gaoxueya/
text : 糖尿病	link : /wuhan/doctors/tangniaobing/
text : 冠心病	link : /wuhan/doctors/guanxinbing/
text : 痛风	link : /wuhan/doctors/tongfeng/
text : 心肌梗塞（心肌病）	link : /wuhan/doctors/xinjibing/
text : 骨质疏松	link : /wuhan/doctors/guzhishusong/
text : 白内障	link : /wuhan/doctors/baineizhang/
text : 呼吸内科	link : /wuhan/doctors/huxineike/
text : 心血管内科	link : /wuhan/doctors/xinxueguanneike/
text : 神经内科	link : /wuhan/doctors/shenjingneike/
text : 血液内科	link : /wuhan/doctors/xueyeneike/
text : 内分泌科	link : /wuhan/doctors/neifenmike/
text : 风湿内科	link : /wuhan/doctors/fengshineike/
text : 肾内科	link : /wuhan/doctors/shenneike/
text : 过敏反应科	link : /wuhan/doctors/guominfanyingke/
text : 泌尿外科	link : /wuhan/doctors/miniaowaike/
text : 乳腺外科	link : /wuhan/doctors/ruxianwaike/
text : 神经外科	link : /wuhan/doctors/shenjingwaike/
text : 心胸外科	link : /wuhan/doctors/xinxiongwaike/
text : 肝胆外科	link : /wuhan/doctors/gandanwaike/
text : 肛肠外科	link : /wuhan/doctors/gangchangwaike/
text : 甲状腺外科	link : /wuhan/doctors/jiazhuangxianwaike/
text : 胃肠外科	link : /wuhan/doctors/weichangwaike/
text : 整形外科	link : /wuhan/doctors/zhengxingwaike/
text : 妇科	link : /wuhan/doctors/fuke/
text : 产科	link : /wuhan/doctors/chanke/
text : 计划生育科	link : /wuhan/doctors/jihuashengyuke/
text : 产前检查科	link : /wuhan/doctors/chanqianjianchake/
text : 遗传科	link : /wuhan/doctors/yichuanzixunke/
text : 小儿内科	link : /wuhan/doctors/xiaoerneike/
text : 小儿外科	link : /wuhan/doctors/xiaoerwaike/
text : 新生儿科	link : /wuhan/doctors/xinshengerke/
text : 小儿消化科	link : /wuhan/doctors/xiaoerxiaohuake/
text : 小儿呼吸科	link : /wuhan/doctors/xiaoerhuxike/
text : 小儿免疫科	link : /wuhan/doctors/xiaoermianyike/
text : 骨外科	link : /wuhan/doctors/guwaike/
text : 脊柱外科	link : /wuhan/doctors/guanjiewaike/
text : 关节外科	link : /wuhan/doctors/jizhuwaike/
text : 手外科	link : /wuhan/doctors/shouwaike/
text : 眼科	link : /wuhan/doctors/yanke/
text : 头颈外科	link : /wuhan/doctors/toujingwaike/
text : 耳鼻喉科	link : /wuhan/doctors/erbihouke/
text : 口腔科	link : /wuhan/doctors/kouqiangke/
text : 中医内科	link : /wuhan/doctors/zhongyineike/
text : 中医外科	link : /wuhan/doctors/zhongyiwaike/
text : 中医妇科	link : /wuhan/doctors/zhongyifuke/
text : 中医儿科	link : /wuhan/doctors/zhongyierke/
text : 中医男科	link : /wuhan/doctors/zhongyinanke/
text : 中医皮肤科	link : /wuhan/doctors/zhongyipifuke/
text : 皮肤科	link : /wuhan/doctors/pifuke/
text : 性病科	link : /wuhan/doctors/xingbingke/
text : 男科	link : /wuhan/doctors/nanke/
text : 肿瘤科	link : /wuhan/doctors/zhongliuke/
text : 精神科	link : /wuhan/doctors/jingshenke/
text : 心理科	link : /wuhan/doctors/xinlike/
text : 传染病科	link : /wuhan/doctors/chuanranbingke/
text : 肝病科	link : /wuhan/doctors/ganbingke/
text : 康复科	link : /wuhan/doctors/kangfuke/
text : 更多	link : /wuhan/hospitals/
text : 	link : /wuhan/zonghe/1bef3.html
text : 华中科技附属同济医院	link : /wuhan/zonghe/1bef3.html
text : 	link : /wuhan/zonghe/532c9.html
text : 武汉协和医院	link : /wuhan/zonghe/532c9.html
text : 	link : /wuhan/zonghe/e9aa0.html
text : 武汉大学人民医院	link : /wuhan/zonghe/e9aa0.html
text : 	link : /wuhan/zonghe/1b437.html
text : 湖北省中医院花园山院区	link : /wuhan/zonghe/1b437.html
text : 	link : /wuhan/zonghe/1f9c2.html
text : 武汉市中西医结合医院	link : /wuhan/zonghe/1f9c2.html
text : 	link : /wuhan/zonghe/5795f.html
text : 湖北省妇幼保健院	link : /wuhan/zonghe/5795f.html
text : 武汉大学中南医院	link : /wuhan/zonghe/1f9bd.html
text : 武汉妇女儿童医疗保健中心	link : /wuhan/zonghe/e9b3c.html
text : 广州军区武汉总医院	link : /wuhan/zonghe/65f1b.html
text : 武汉市中医医院	link : /wuhan/zonghe/1f9c7.html
text : 湖北省肿瘤医院	link : /wuhan/zhuanke/1f9c1.html
text : 武汉市中心医院	link : /wuhan/zonghe/1bcb8.html
text : 	link : /wuhan/zonghe/1bef3.html
text : 华中科技附属同济医院	link : /wuhan/zonghe/1bef3.html
text : 	link : /wuhan/zonghe/532c9.html
text : 武汉协和医院	link : /wuhan/zonghe/532c9.html
text : 	link : /wuhan/zonghe/e9aa0.html
text : 武汉大学人民医院	link : /wuhan/zonghe/e9aa0.html
text : 	link : /wuhan/zonghe/1b437.html
text : 湖北省中医院花园山院区	link : /wuhan/zonghe/1b437.html
text : 	link : /wuhan/zonghe/1f9c2.html
text : 武汉市中西医结合医院	link : /wuhan/zonghe/1f9c2.html
text : 	link : /wuhan/zonghe/5795f.html
text : 湖北省妇幼保健院	link : /wuhan/zonghe/5795f.html
