text : 	link : http://www.39.net/
text : 问医生	link : http://ask.39.net/
text : 找医院	link : http://yyk.39.net/
text : 查疾病	link : http://jbk.39.net/
text : 症状自查	link : http://jbk.39.net/bw_t2/
text : 药品通	link : http://ypk.39.net/
text : 快应用	link : http://www.39.net/a/200519/7910008.html
text : 登录	link : https://my.39.net/passport/Login.aspx
text : 39网友	link : http://my.39.net
text : 资讯	link : http://news.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 儿科	link : http://ek.39.net/
text : 肿瘤	link : http://cancer.39.net/
text : 肝病	link : http://gan.39.net/
text : 肾病	link : http://shen.39.net/
text : 胃病	link : http://wei.39.net/
text : 肛肠	link : http://gc.39.net/
text : 糖尿病	link : http://tnb.39.net/
text : 心血管	link : http://heart.39.net/
text : 神经	link : http://sj.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 骨科	link : http://gk.39.net/
text : 皮肤	link : http://pf.39.net/
text : 整形	link : http://zx.39.net/
text : 诊疗	link : http://zl.39.net/
text : 减肥	link : http://fitness.39.net/
text : 女性	link : http://woman.39.net/
text : 男性	link : http://man.39.net/
text : 饮食	link : http://food.39.net/
text : 育儿	link : http://baby.39.net/
text : 【回到旧版首页】	link : http://www.39.net/index2015.html
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 产科	link : http://ck.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 肿瘤科	link : http://cancer.39.net/
text : 内科	link : http://neike.39.net/
text : 呼吸科	link : http://hx.39.net/
text : 心血管	link : http://heart.39.net/
text : 胃病科	link : http://wei.39.net/
text : 肾病科	link : http://shen.39.net/
text : 糖尿病科	link : http://tnb.39.net/
text : 肝病科	link : http://gan.39.net/
text : 乙肝	link : http://hbv.39.net/
text : 艾滋病	link : http://aids.39.net/
text : 神经科	link : http://sj.39.net/
text : 血液科	link : http://xy.39.net/
text : 精神科	link : http://js.39.net/
text : 消化科	link : http://xh.39.net/
text : 传染科	link : http://cr.39.net/
text : 皮肤科	link : http://pf.39.net/
text : 性病科	link : http://xb.39.net/
text : 风湿科	link : http://fs.39.net/
text : 外科	link : http://wk.39.net/
text : 骨科	link : http://gk.39.net/
text : 肛肠科	link : http://gc.39.net/
text : 内分泌	link : http://nfm.39.net/
text : 五官科	link : http://wgk.39.net/
text : 眼科	link : http://eye.39.net/
text : 口腔科	link : http://mouth.39.net/
text : 耳鼻喉科	link : http://ebh.39.net/
text : 过敏科	link : http://gm.39.net/
text : 其他	link : http://disease.39.net/
text : 儿科	link : http://ek.39.net/
text : 中医科	link : http://cm.39.net/
text : 急救	link : http://120.39.net/
text : 体检科	link : http://tj.39.net/
text : 深呼吸	link : http://news.39.net/shx/
text : 新疆界	link : http://news.39.net/xinjiangjie/
text : 仁心	link : http://disease.39.net/renxin/
text : 辟谣	link : http://care.39.net/39zjpyt/
text : 	link : http://fk.39.net/a/211105/9650537.html
text : 	link : http://cancer.39.net/a/211105/9652511.html
text : 	link : http://fk.39.net/a/211105/9652200.html
text : 	link : http://fk.39.net/a/211105/9652044.html
text : 	link : http://nfm.39.net/a/211105/9649945.html
text : 产妇“暴力”通乳引发乳腺炎，出现发烧！中医推拿按摩帮她成功退热通乳	link : http://fk.39.net/a/211105/9650537.html
text : 乳腺炎检查诊断	link : http://fk.39.net/rfjb/rxy/jczd/
text : 癌症总是悄无声息？癌症来临前这4个症状很明显，不可忽视	link : http://cancer.39.net/a/211105/9652511.html
text : 早期发现	link : http://cancer.39.net/care/zqfx/
text : 明年起，广东这些女生可以免费接种HPV疫苗！日常中如何预防宫颈癌？	link : http://fk.39.net/a/211105/9652200.html
text : 宫颈癌预防	link : http://fk.39.net/gjjb/gjc/gjayf/
text : 子宫肌瘤也可能恶变！如果出现以下几种症状，或暗示着子宫肌瘤来临	link : http://fk.39.net/a/211105/9652044.html
text : 子宫肌瘤诊断	link : http://fk.39.net/zgjb/zgjl/jlzd/
text : “胖友”们注意，这个部位发黑一定要警惕！胰岛素抵抗发出的信号	link : http://nfm.39.net/a/211105/9649945.html
text : 其他内分泌专访	link : http://nfm.39.net/nfmzh/nfmzf/qtzf/
text : 	link : http://sj.39.net/a/211108/9659890.html
text : 多多体育运动降低帕金森病死亡率	link : http://sj.39.net/a/211108/9659890.html
text : 	link : http://cancer.39.net/a/211108/9649393.html
text : 癌症幸存者血脂四项出现这些变化，小心心梗和卒中！	link : http://cancer.39.net/a/211108/9649393.html
text : 	link : http://heart.39.net/a/211108/9649742.html
text : JAHA：急性心力衰竭入院后新诊断感染的临床意义	link : http://heart.39.net/a/211108/9649742.html
text : 肿瘤	link : http://cancer.39.net/
text : 癌症种类	link : http://cancer.39.net/azzl/
text : 癌症治疗	link : http://cancer.39.net/zl/
text : 癌症预防	link : http://cancer.39.net/care/
text : 癌症常识	link : http://cancer.39.net/cs/
text : 癌症护理	link : http://cancer.39.net/azhl/
text : 	link : http://cancer.39.net/a/211105/9652511.html
text : 	link : http://cancer.39.net/a/211104/9648276.html
text : 	link : http://cancer.39.net/xmt/211102/9637658.html
text : 	link : http://cancer.39.net/xmt/211102/9637515.html
text : 	link : http://cancer.39.net/a/211102/9615383.html
text : 癌症总是悄无声息？癌症来临前这4个症状很明显，不可忽视	link : http://cancer.39.net/a/211105/9652511.html
text : 早期发现	link : http://cancer.39.net/care/zqfx/
text : 熬夜会致癌？常上夜班的人想避开患癌风险，要做好4件事！	link : http://cancer.39.net/a/211104/9648276.html
text : 生活习惯	link : http://cancer.39.net/care/shxg/
text : 3岁女孩患上乳腺癌！提醒：这种乳腺癌喜欢“找上”孩子，需警惕	link : http://cancer.39.net/xmt/211102/9637658.html
text : 肿瘤新媒体	link : http://cancer.39.net/xmt/
text : “吃”出来的癌症，越来越多人患肠癌，专家坦言与这2个习惯有关	link : http://cancer.39.net/xmt/211102/9637515.html
text : 肿瘤新媒体	link : http://cancer.39.net/xmt/
text : 人群队列研究揭示更年期激素治疗可降低食管腺癌患病风险	link : http://cancer.39.net/a/211102/9615383.html
text : 癌症资讯	link : http://cancer.39.net/azzx/
text : 	link : http://cancer.39.net/a/211108/9649393.html
text : 癌症幸存者血脂四项出现这些变化，小心心梗和卒中！	link : http://cancer.39.net/a/211108/9649393.html
text : 	link : http://cancer.39.net/a/211108/9649651.html
text : 癌症治疗专用代餐？可阻止三阴乳腺癌进展和癌症干细胞逃逸！	link : http://cancer.39.net/a/211108/9649651.html
text : 	link : http://cancer.39.net/a/211105/9652730.html
text : 患癌了就没有希望了？做好这3种护理，或能提高治疗效果！	link : http://cancer.39.net/a/211105/9652730.html
text : 	link : http://cancer.39.net/a/211105/9644213.html
text : HPV阴性就放心不会得宫颈癌了吗？这个结果到底能管多久？	link : http://cancer.39.net/a/211105/9644213.html
text : 	link : http://cancer.39.net/a/211104/9644171.html
text : Nature子刊：热量限制完胜！减缓肿瘤进展转移，增强免疫能力！	link : http://cancer.39.net/a/211104/9644171.html
text : 	link : http://cancer.39.net/xmt/211025/9600900.html
text : 美国研究发现：早起或比熬夜更伤身！睡多久、怎么睡，听专家说	link : http://cancer.39.net/xmt/211025/9600900.html
text : 肿瘤自测	link : http://test.39.net/listall/151.html
text : 症状自查	link : https://jbk.39.net/zicha/
text : 乳腺癌自测	link : http://test.39.net/test/6367.html
text : 子宫癌自测	link : http://test.39.net/test/1446.html
text : 肺癌自测	link : http://test.39.net/test/6368.html
text : 胃癌自测	link : http://test.39.net/test/6366.html
text : 食管癌自测	link : http://test.39.net/test/6365.html
text : 直肠癌自测	link : http://test.39.net/test/2343.html
text : 皮肤癌自测	link : http://test.39.net/test/845.html
text : 前列腺癌自测	link : http://test.39.net/test/3186.html
text : 肝癌自测	link : http://test.39.net/test/6364.html
text : 卵巢癌自测	link : http://test.39.net/test/1437.html
text : 肾癌自测	link : http://test.39.net/test/1374.html
text : 问医生	link : http://ask.39.net/addtopic.aspx?from=dh&words=
text : 我要提问	link : http://ask.39.net/addtopic.aspx?from=dh&words=
text : 妇科	link : http://fk.39.net/
text : 阴道炎	link : http://fk.39.net/ydy/
text : 子宫疾病	link : http://fk.39.net/zgjb/
text : 月经内分泌疾病	link : http://fk.39.net/sznfmjb/
text : 避孕人流	link : http://fk.39.net/jhsy/
text : 生理常识	link : http://fk.39.net/szxtsl/
text : 	link : http://fk.39.net/a/211105/9650537.html
text : 	link : http://fk.39.net/a/211105/9652200.html
text : 	link : http://fk.39.net/a/211105/9652044.html
text : 	link : http://fk.39.net/yth/211026/9610265.html
text : 	link : http://fk.39.net/a/211018/9552368.html
text : 产妇“暴力”通乳引发乳腺炎，出现发烧！中医推拿按摩帮她成功退热通乳	link : http://fk.39.net/a/211105/9650537.html
text : 乳腺炎检查诊断	link : http://fk.39.net/rfjb/rxy/jczd/
text : 明年起，广东这些女生可以免费接种HPV疫苗！日常中如何预防宫颈癌？	link : http://fk.39.net/a/211105/9652200.html
text : 宫颈癌预防	link : http://fk.39.net/gjjb/gjc/gjayf/
text : 子宫肌瘤也可能恶变！如果出现以下几种症状，或暗示着子宫肌瘤来临	link : http://fk.39.net/a/211105/9652044.html
text : 子宫肌瘤诊断	link : http://fk.39.net/zgjb/zgjl/jlzd/
text : 人造子宫来了，以后女性可以不用亲自怀孕了吗？	link : http://fk.39.net/yth/211026/9610265.html
text : 308室夜谈会	link : http://fk.39.net/yth/
text : 补充益生菌是智商税吗？对于准妈妈来说还真不是！尤其GDM！	link : http://fk.39.net/a/211018/9552368.html
text : 孕期小贴士	link : http://fk.39.net/yqxts/
text : 	link : http://fk.39.net/a/211028/9601694.html
text : “医生，乳腺癌手术推迟那么多，来得及吗？”这篇分析明确回答	link : http://fk.39.net/a/211028/9601694.html
text : 	link : http://fk.39.net/a/211027/9590942.html
text : 不要上夜班！中国学者发现，上夜班超过10年的女性房颤风险增加64%！	link : http://fk.39.net/a/211027/9590942.html
text : 	link : http://fk.39.net/a/211021/9586574.html
text : 10年中国女性数据：哪些早期乳腺癌保乳手术患者，更易局部复发？	link : http://fk.39.net/a/211021/9586574.html
text : 	link : http://fk.39.net/yth/211026/9610265.html
text : 人造子宫来了，以后女性可以不用亲自怀孕了吗？	link : http://fk.39.net/yth/211026/9610265.html
text : 	link : http://fk.39.net/a/211026/9606815.html
text : 大姨妈来得随意令人恼！想要月经准时，避开这4个坏习惯	link : http://fk.39.net/a/211026/9606815.html
text : 	link : http://fk.39.net/a/211022/9591852.html
text : 查出乳腺增生，会发展成乳腺癌吗？出现这种情况需警惕！	link : http://fk.39.net/a/211022/9591852.html
