text : 	link : http://www.39.net/
text : 问医生	link : http://ask.39.net/
text : 找医院	link : http://yyk.39.net/
text : 查疾病	link : http://jbk.39.net/
text : 症状自查	link : http://jbk.39.net/bw_t2/
text : 药品通	link : http://ypk.39.net/
text : 快应用	link : http://www.39.net/a/200519/7910008.html
text : 登录	link : https://my.39.net/passport/Login.aspx
text : 39网友	link : http://my.39.net
text : 资讯	link : http://news.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 儿科	link : http://ek.39.net/
text : 肿瘤	link : http://cancer.39.net/
text : 肝病	link : http://gan.39.net/
text : 肾病	link : http://shen.39.net/
text : 胃病	link : http://wei.39.net/
text : 肛肠	link : http://gc.39.net/
text : 糖尿病	link : http://tnb.39.net/
text : 心血管	link : http://heart.39.net/
text : 神经	link : http://sj.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 骨科	link : http://gk.39.net/
text : 皮肤	link : http://pf.39.net/
text : 整形	link : http://zx.39.net/
text : 诊疗	link : http://zl.39.net/
text : 减肥	link : http://fitness.39.net/
text : 女性	link : http://woman.39.net/
text : 男性	link : http://man.39.net/
text : 饮食	link : http://food.39.net/
text : 育儿	link : http://baby.39.net/
text : 【回到旧版首页】	link : http://www.39.net/index2015.html
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 产科	link : http://ck.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 肿瘤科	link : http://cancer.39.net/
text : 内科	link : http://neike.39.net/
text : 呼吸科	link : http://hx.39.net/
text : 心血管	link : http://heart.39.net/
text : 胃病科	link : http://wei.39.net/
text : 肾病科	link : http://shen.39.net/
text : 糖尿病科	link : http://tnb.39.net/
text : 肝病科	link : http://gan.39.net/
text : 乙肝	link : http://hbv.39.net/
text : 艾滋病	link : http://aids.39.net/
text : 神经科	link : http://sj.39.net/
text : 血液科	link : http://xy.39.net/
text : 精神科	link : http://js.39.net/
text : 消化科	link : http://xh.39.net/
text : 传染科	link : http://cr.39.net/
text : 皮肤科	link : http://pf.39.net/
text : 性病科	link : http://xb.39.net/
text : 风湿科	link : http://fs.39.net/
text : 外科	link : http://wk.39.net/
text : 骨科	link : http://gk.39.net/
text : 肛肠科	link : http://gc.39.net/
text : 内分泌	link : http://nfm.39.net/
text : 五官科	link : http://wgk.39.net/
text : 眼科	link : http://eye.39.net/
text : 口腔科	link : http://mouth.39.net/
text : 耳鼻喉科	link : http://ebh.39.net/
text : 过敏科	link : http://gm.39.net/
text : 其他	link : http://disease.39.net/
text : 儿科	link : http://ek.39.net/
text : 中医科	link : http://cm.39.net/
text : 急救	link : http://120.39.net/
text : 体检科	link : http://tj.39.net/
text : 深呼吸	link : http://news.39.net/shx/
text : 新疆界	link : http://news.39.net/xinjiangjie/
text : 仁心	link : http://disease.39.net/renxin/
text : 辟谣	link : http://care.39.net/39zjpyt/
text : 	link : http://news.39.net/xinzhi/211109/9664556.html
text : 	link : http://news.39.net/a/211104/9647614.html
text : 	link : http://news.39.net/ys/211102/9635619.html
text : 	link : http://news.39.net/a/211028/9616754.html
text : 	link : http://news.39.net/xinzhi/211028/9615570.html
text : 被嫌弃的近视患者的一生：近视这件小事，真的不是“小事”	link : http://news.39.net/xinzhi/211109/9664556.html
text : 健康新知	link : http://news.39.net/xinzhi/
text : 3-11岁儿童开打新冠疫苗，国家卫健委：适龄无禁忌儿童“应接尽接”！“无禁忌”里的禁忌，都指哪些禁忌？	link : http://news.39.net/a/211104/9647614.html
text : 重要疫情消息	link : http://news.39.net/xwzt/whfy/zxyq/
text : 被吹上天的是酵素，实际“上天”的可能是我	link : http://news.39.net/ys/211102/9635619.html
text : 饮食	link : http://news.39.net/ysbj/ys/
text : 北京昨日新增3+2！本轮疫情病毒均为德尔塔变异株，与内蒙古甘肃同一传播链！	link : http://news.39.net/a/211028/9616754.html
text : 重要疫情消息	link : http://news.39.net/xwzt/whfy/zxyq/
text : 打雷是渣男在发誓？研究发现：生而为男，确实更容易被雷劈	link : http://news.39.net/xinzhi/211028/9615570.html
text : 健康新知	link : http://news.39.net/xinzhi/
text : 	link : http://news.39.net/shwx/211109/9665696.html
text : 强寒潮打脸全球变暖？寒潮来袭，请收好这份南北皆宜的取暖攻略	link : http://news.39.net/shwx/211109/9665696.html
text : 	link : http://news.39.net/a/211109/9664619.html
text : 2021年11月9日简报：全国新增确诊病例62例；新加坡要求拒绝接种新冠疫苗者染病后自付医药费；日本15个月来首次无单日新增新冠死亡病例；新冠后遗症需要引起关注	link : http://news.39.net/a/211109/9664619.html
text : 	link : http://news.39.net/a/211109/9663456.html
text : 终结新冠！辉瑞新冠口服药物Paxlovid降低住院或死亡率89%！即使是出现症状5天内，仍然极其有效！	link : http://news.39.net/a/211109/9663456.html
text : 	link : http://news.39.net/a/211109/9663354.html
text : 柳叶刀：新冠突破性感染死亡与哪些特征和风险相关？	link : http://news.39.net/a/211109/9663354.html
text : 	link : http://news.39.net/ys/211108/9659874.html
text : BMJ子刊：中国人最爱吃盐？五个国家加工肉类/鱼类产品中钠含量中国最高！少吃点火锅串串吧！	link : http://news.39.net/ys/211108/9659874.html
text : 	link : http://news.39.net/qwqs/211108/9659858.html
text : 医生职级越高，越爱喝咖啡？研究医生喝咖啡竟能发BMJ……	link : http://news.39.net/qwqs/211108/9659858.html
text : 	link : http://news.39.net/a/211108/9659746.html
text : 2021年11月8日简报：明年新冠或变为地方性流行病；	link : http://news.39.net/a/211108/9659746.html
text : 	link : http://news.39.net/shx/
text : 一个年轻代妈的自述：这是一辈子都无法醒来的噩梦	link : http://news.39.net/shx/210727/9235700.html
text : 	link : http://disease.39.net/renxin/
text : 邓春华：是时候解开缠绕在男人身上的“裹脚布”了	link : http://disease.39.net/a/211028/9617604.html
text : 	link : http://news.39.net/xinzhi/
text : 被嫌弃的近视患者的一生：近视这件小事，真的不是“小事”	link : http://news.39.net/xinzhi/211109/9664556.html
text : 	link : http://care.39.net/39zjpyt/
text : 辟谣 | 西药降压是大骗局？长期吃药会致癌、副作用大？别再被忽悠了	link : http://care.39.net/39zjpyt/211103/9639064.html
text : 安全警示	link : http://news.39.net/hxw/
text : 2021-08-23“不能让客户知道是剩下的” 胖哥俩肉蟹煲：死蟹当活蟹卖！	link : http://news.39.net/hsp/210823/9350197.html
text : 2021-08-16吐了！大润发卖发臭隔夜肉！新鲜肉与变质肉该如何识别？	link : http://news.39.net/hsp/210816/9321370.html
text : 2021-07-29标价39800的量子内衣，核心技术仅值3元！“高科技骗局”为何总有人埋单？	link : http://news.39.net/hyp/210729/9249650.html
text : 2021-07-16再陷“致癌门”！强生旗下两品牌防晒喷雾检出致癌物！	link : http://news.39.net/hyp/210716/9192086.html
text : 生物科技	link : http://news.39.net/kyfx/
text : 	link : http://news.39.net/kyfx/211105/9648304.html
text : 	link : http://news.39.net/kyfx/211105/9648300.html
text : 	link : http://news.39.net/kyfx/211103/9638419.html
text : 	link : http://news.39.net/kyfx/211102/9631493.html
text : 	link : http://news.39.net/kyfx/211101/9629158.html
text : PLoS Med：轻度至中度饮酒真能让机体保持健康？事实或许并非如此！	link : http://news.39.net/kyfx/211105/9648304.html
text : 科研发现	link : http://news.39.net/kyfx/
text : 减肥神器！Nature子刊首次报道公认安全级的“减肥药”	link : http://news.39.net/kyfx/211105/9648300.html
text : 科研发现	link : http://news.39.net/kyfx/
text : 熬夜晚睡不仅会诱发猝死还会破坏记忆力！这些晚睡危害你知道吗？	link : http://news.39.net/kyfx/211103/9638419.html
text : 科研发现	link : http://news.39.net/kyfx/
text : Nature发文：通过饮食干预可以抑制肿瘤生长	link : http://news.39.net/kyfx/211102/9631493.html
text : 科研发现	link : http://news.39.net/kyfx/
text : ANB：熬完夜补觉有用吗？别妄想了！欠3天的觉，你就身心俱损了！	link : http://news.39.net/kyfx/211101/9629158.html
text : 科研发现	link : http://news.39.net/kyfx/
text : 	link : http://news.39.net/kyfx/211109/9663951.html
text : Nature：新发现的皮肤细胞可能导致炎症性皮肤病	link : http://news.39.net/kyfx/211109/9663951.html
text : 	link : http://news.39.net/kyfx/211109/9663517.html
text : Nature：揭示蛋白SLC25A39将谷胱甘肽运送到线粒体中以中和自由基	link : http://news.39.net/kyfx/211109/9663517.html
text : 	link : http://news.39.net/kyfx/211109/9663513.html
text : Science子刊：重大突破！新研究揭示扩张型心肌病的病理机制	link : http://news.39.net/kyfx/211109/9663513.html
text : 	link : http://news.39.net/kyfx/211109/9663507.html
text : PNAS：在哺乳动物视网膜中发现了一种新的神经元类型	link : http://news.39.net/kyfx/211109/9663507.html
text : 	link : http://news.39.net/kyfx/211109/9659305.html
text : Nature：重大进展！中美科学家揭示针灸的神经解剖学机制	link : http://news.39.net/kyfx/211109/9659305.html
text : 	link : http://news.39.net/kyfx/211109/9659289.html
text : Science子刊：揭示基因MEF2能够抵抗神经退化和改善认知能力	link : http://news.39.net/kyfx/211109/9659289.html
text : 	link : http://news.39.net/a/211022/9594304.html
text : 旅行团引发新一轮疫情，会爆发吗？除了防护，我们还能做啥？	link : http://news.39.net/a/211022/9594304.html
text : 	link : http://news.39.net/shwx/211020/9582864.html
text : 男子一个月吃160袋鸡胸肉致肾损伤！这些伤肾行为，你占了几条？	link : http://news.39.net/shwx/211020/9582864.html
text : 	link : http://news.39.net/a/211020/9582826.html
text : 旅行团引新一轮疫情，7地新增本土确诊17例！今冬疫情会爆发吗？	link : http://news.39.net/a/211020/9582826.html
text : 	link : http://news.39.net/jbyw/211014/9561041.html
text : 冷冷冷，22省份将现断崖式降温？这些秋季你该知道的事情！	link : http://news.39.net/jbyw/211014/9561041.html
text : 	link : http://news.39.net/a/210930/9512736.html
text : 台湾医院为25人打150人份剂量疫苗，疫苗注射过量会怎样？	link : http://news.39.net/a/210930/9512736.html
text : 不用打针！往鼻子喷喷就好！国产鼻喷新冠疫苗最新进展来了	link : http://news.39.net/a/210927/9497219.html
text : 为啥要买绿化好的小区？PNAS：小区绿化好，小孩成年后精神病风险降低	link : http://news.39.net/xinzhi/210923/9478439.html
text : 河南将启动新冠疫苗加强针接种，为什么我们还要打加强针？	link : http://news.39.net/a/210917/9458286.html
text : 疫情再度爆发，世界开始慌了，第三针疫苗什么时候能打	link : http://news.39.net/a/210910/9431120.html
text : 重庆西南大学一返渝学生核酸异常，核酸异常就是有疫情吗？	link : http://news.39.net/a/210907/9414904.html
text : 行业资讯	link : http://news.39.net/medicine/
text : 	link : http://news.39.net/medicine/211105/9650258.html
text : 	link : http://news.39.net/medicine/211105/9650233.html
